module	trait	nObs	bicor	Z	t	p	adj_p
lightcyan	Sequencing_Platform	95	0.0874794400955652	0.845783084261877	0.846867784692245	0.399242830382327	0.399242830382327
lightcyan	Insertion	51	0.0532007483558149	0.37275717829732	0.372933372774713	0.710806463205605	0.710806463205605
lightcyan	coi_id	95	0.0232730376631204	0.224477581477189	0.224497853472197	0.822862436819302	0.822862436819302
lightcyan	mth_id	95	0.0232723066792833	0.224470528304231	0.224490798388403	0.822867909705298	0.822867909705298
lightcyan	Sex	95	0.00865211041860581	0.0834400133432106	0.0834410544385945	0.933680188256361	0.933680188256361
lightcyan	Diagnosis	95	-0.023464389787635	-0.226323922825095	0.226344699170043	0.82143007316252	0.82143007316252
lightcyan	ADOScs	95	-0.0218501137773714	-0.210748409654809	0.210765184908229	0.8335316278956	0.8335316278956
lightcyan	MSLelcStandard	91	0.133805507683605	1.26993409307757	1.27377289554971	0.206060379758806	0.206060379758806
lightcyan	Mat_BMI_PrePreg	95	-0.121736873425428	-1.17983946041267	1.182784964112	0.239909373024391	0.239909373024391
lightcyan	PCB_11	95	-0.0994184905057021	-0.961934864880887	0.963530813297317	0.337779935173689	0.337779935173689
lightcyan	PCB_39	95	0.0652578191211373	0.630219248894599	0.630667925607269	0.529804452249394	0.529804452249394
lightcyan	PCB_153_168	95	-0.0299170845677494	-0.288596036809356	0.288639114889149	0.77349992935821	0.77349992935821
lightcyan	PCB_129_138_163	95	-0.00821325633927489	-0.0792075568285448	0.0792084473966114	0.937037013323283	0.937037013323283
lightcyan	PCB_180_193	95	-0.0226785900685152	-0.218741908516789	0.218760665930798	0.827315850993285	0.827315850993285
lightcyan	PCB_198_199	95	0.017215175043736	0.166033539232123	0.166041741986638	0.868484543076369	0.868484543076369
lightcyan	Unclassified_PCBs_Total	95	-0.021761819667271	-0.209896527021844	0.209913099667554	0.834194679779676	0.834194679779676
lightcyan	PCB_118	95	-0.0997139160134885	-0.96481237128054	0.966422689615783	0.336339176264104	0.336339176264104
lightcyan	PCB_156_157	95	0.00221091642993474	0.021321340652724	0.0213213580231093	0.98303498567598	0.98303498567598
lightcyan	PCB_169	95	0.0675226771804319	0.652157454849183	0.652654644976137	0.515589015250475	0.515589015250475
lightcyan	DL_PCBs_Total	95	-0.0711271374511447	-0.687085511670456	0.687666956350298	0.493374041676745	0.493374041676745
lightcyan	PCB_146	95	0.051746905797178	0.499475228238398	0.499698567930643	0.618467553036253	0.618467553036253
lightcyan	PCB_187	95	0.0435775302118776	0.420512802083685	0.420646075875917	0.674983971819548	0.674983971819548
lightcyan	PCB_183	95	0.0427756258431524	0.412765072541429	0.412891114285772	0.680636773459029	0.680636773459029
lightcyan	PCB_177	95	0.00405735458037538	0.0391279252972133	0.0391280326532864	0.968872184707544	0.968872184707544
lightcyan	PCB_170	95	-0.0114055300782304	-0.109995718622541	0.109998103664206	0.912647896906852	0.912647896906852
lightcyan	PCB_196	95	0.0720397878847185	0.695932126097414	0.696536324455683	0.487830319983019	0.487830319983019
lightcyan	PCB_203	95	0.0192743451941366	0.185898076382248	0.185909589648751	0.852920558478661	0.852920558478661
lightcyan	PCB_194	95	-0.0162405815325128	-0.156632268349394	0.156639155114047	0.875868785117729	0.875868785117729
lightcyan	NDL_PCBs_Totals	95	0.0212060596094934	0.204534496082268	0.204549830781574	0.83837085040709	0.83837085040709
lightcyan	Total_PCBs	95	-0.0148130516112418	-0.142862346316326	0.1428675717688	0.886703851687028	0.886703851687028
lightcyan	weight(g)	95	0.00242497639230733	0.0233856712710321	0.0233856941910758	0.981392720443164	0.981392720443164
red	Sequencing_Platform	95	0.0265720537847316	0.256311943134796	0.25634212094131	0.798252871538727	0.798252871538727
red	Insertion	51	0.172548331893316	1.22004407797374	1.22623049016319	0.225972297730099	0.225972297730099
red	coi_id	95	-0.011266544634958	-0.108655219282737	0.108657518184088	0.91370823386033	0.91370823386033
red	mth_id	95	-0.0112680556706994	-0.108669793033882	0.108672092860405	0.913696705167856	0.913696705167856
red	Sex	95	0.153483454027032	1.49193056542166	1.49788898853653	0.137548684978624	0.137548684978624
red	Diagnosis	95	-0.0755570834252326	-0.730037476715418	0.730734946995683	0.466778043289831	0.466778043289831
red	ADOScs	95	-0.166201374876013	-1.61779542341069	1.62539427035293	0.107462825851884	0.107462825851884
red	MSLelcStandard	91	0.0415533006664425	0.392238915116112	0.39235193329825	0.695736237244736	0.695736237244736
red	Mat_BMI_PrePreg	95	0.0586725220594657	0.566467925100447	0.566793736816234	0.572219765907483	0.572219765907483
red	PCB_11	95	0.0105855983046842	0.10208762639978	0.102089533122552	0.918905406099097	0.918905406099097
red	PCB_39	95	0.0237990853109053	0.229553413130987	0.229575091637951	0.818926124776522	0.818926124776522
red	PCB_153_168	95	0.0550486502202621	0.531407175984732	0.531676152263871	0.596218046753341	0.596218046753341
red	PCB_129_138_163	95	0.0616674347996635	0.595454784395829	0.595833222585509	0.552734005540456	0.552734005540456
red	PCB_180_193	95	0.0988363447730422	0.956265142495809	0.957833027799109	0.340630395189076	0.340630395189076
red	PCB_198_199	95	0.130631260332686	1.26700227614484	1.27065042710881	0.207022452938191	0.207022452938191
red	Unclassified_PCBs_Total	95	0.0790490210059264	0.763914982381791	0.764714148643701	0.446377886285378	0.446377886285378
red	PCB_118	95	-0.0602157290454603	-0.581402851447709	0.581755121886174	0.562139163122676	0.562139163122676
red	PCB_156_157	95	-0.0138731533089382	-0.133796429588117	0.1338007220214	0.893849274276513	0.893849274276513
red	PCB_169	95	-0.0309585908857316	-0.298649274860157	0.298697013607638	0.76583763865801	0.76583763865801
red	DL_PCBs_Total	95	-0.0526995918404017	-0.508687725374555	0.508923653650794	0.61201105165628	0.61201105165628
red	PCB_146	95	0.0853751512879312	0.825337326916734	0.826345231247119	0.410723287380772	0.410723287380772
red	PCB_187	95	0.155152462410194	1.50841854895825	1.51457687457469	0.133270991836503	0.133270991836503
red	PCB_183	95	0.159825134921491	1.55462634244824	1.56136864392918	0.121833418630657	0.121833418630657
red	PCB_177	95	0.133276407220484	1.29296319179316	1.29684035977684	0.197894452723087	0.197894452723087
red	PCB_170	95	0.0578725736250608	0.558727216307693	0.559039851722068	0.577478255104582	0.577478255104582
red	PCB_196	95	0.181438786824496	1.76932110918241	1.77926409210769	0.0784634446181657	0.0784634446181657
red	PCB_203	95	0.0733654674612598	0.708784452057186	0.709422753237616	0.479837001253721	0.479837001253721
red	PCB_194	95	0.073148737367306	0.706683105621093	0.707315745454267	0.481138972776941	0.481138972776941
red	NDL_PCBs_Totals	95	0.113888266399735	1.10308447512862	1.10549147587665	0.271798382655539	0.271798382655539
red	Total_PCBs	95	0.0787323924873058	0.76084240456437	0.761631964480637	0.448206812118122	0.448206812118122
red	weight(g)	95	-0.00760739622048237	-0.0733644876342187	0.0733651952943432	0.941673076581707	0.941673076581707
purple	Sequencing_Platform	95	0.00476971680772842	0.0459978319446216	0.0459980063574329	0.963410467290479	0.963410467290479
purple	Insertion	51	0.011758171992233	0.0823109973770677	0.0823128942108001	0.934733229855919	0.934733229855919
purple	coi_id	95	-0.00711837569835743	-0.0686482887348836	0.0686488685052959	0.945416504814943	0.945416504814943
purple	mth_id	95	-0.00712581024778053	-0.0687199885700028	0.0687205701589434	0.945359584617648	0.945359584617648
purple	Sex	95	0.00180813653380843	0.0174370562629163	0.0174370657642669	0.9861252940729	0.9861252940729
purple	Diagnosis	95	-0.0134676420807245	-0.129885089919654	0.129889016799727	0.896934760087421	0.896934760087421
purple	ADOScs	95	-0.0509516245420465	-0.491785537378002	0.491998718885817	0.623879606297664	0.623879606297664
purple	MSLelcStandard	91	-0.110213386410004	-1.04399190812723	1.04612404981331	0.298336647308672	0.298336647308672
purple	Mat_BMI_PrePreg	95	-0.105953025444515	-1.02562342946775	1.0275579583075	0.306822999961471	0.306822999961471
purple	PCB_11	95	-0.151300106903532	-1.47037451729804	1.47607818872055	0.143300865821923	0.143300865821923
purple	PCB_39	95	-0.00849356668637979	-0.081910960580541	0.0819119454834605	0.934892769429447	0.934892769429447
purple	PCB_153_168	95	-0.0147394007628122	-0.142151928145027	0.142157076029401	0.88726345071416	0.88726345071416
purple	PCB_129_138_163	95	-0.0555984534935006	-0.536725564842973	0.537002698905977	0.592548201508568	0.592548201508568
purple	PCB_180_193	95	0.0257338313762635	0.248222885768187	0.248250295554413	0.804488094798884	0.804488094798884
purple	PCB_198_199	95	0.078046860345737	0.754190496203974	0.754959523539243	0.452180928852574	0.452180928852574
purple	Unclassified_PCBs_Total	95	-0.0160134922809208	-0.154441729187726	0.154448331032928	0.877590933693999	0.877590933693999
purple	PCB_118	95	-0.119585832142781	-1.15878908508837	1.16157965247238	0.248378830265558	0.248378830265558
purple	PCB_156_157	95	-0.0152799067510924	-0.147365553833467	0.147371289168777	0.883157990740656	0.883157990740656
purple	PCB_169	95	-0.079658979835794	-0.769834487970168	0.770652380548625	0.442866419567838	0.442866419567838
purple	DL_PCBs_Total	95	-0.102537909991166	-0.992327382892246	0.994079489985023	0.322763618296839	0.322763618296839
purple	PCB_146	95	-0.0621009332563443	-0.599651363623226	0.600037860720764	0.549940299421332	0.549940299421332
purple	PCB_187	95	0.025220283197914	0.24326718973264	0.243292990358035	0.808314268044444	0.808314268044444
purple	PCB_183	95	-0.029370675729432	-0.283322026080506	0.283362785271961	0.777528575169735	0.777528575169735
purple	PCB_177	95	-0.13749262186827	-1.33438212559074	1.33864421139488	0.183949775743004	0.183949775743004
purple	PCB_170	95	-0.0208915313218276	-0.201499950635712	0.201514612868607	0.840736317081281	0.840736317081281
purple	PCB_196	95	-0.0537996364047917	-0.519326338074098	0.519577382058891	0.604592617206022	0.604592617206022
purple	PCB_203	95	0.00669784447355788	0.0645926388653814	0.0645931218306026	0.948636602376968	0.948636602376968
purple	PCB_194	95	0.0779377973117094	0.753132293553167	0.753898087710982	0.452814982468629	0.452814982468629
purple	NDL_PCBs_Totals	95	-0.00819742174404196	-0.079054843240335	0.0790557286672225	0.93715815416895	0.93715815416895
purple	Total_PCBs	95	-0.0224583715278503	-0.216617115576687	0.216635331662475	0.828967054685393	0.828967054685393
purple	weight(g)	95	0.0251847127177024	0.242923942425056	0.242949633988983	0.808579452893079	0.808579452893079
tan	Sequencing_Platform	95	0.0256244347105943	0.247167206395153	0.247194267941691	0.80530276814622	0.80530276814622
tan	Insertion	51	-0.117121757526074	-0.823632238896357	0.825533988359175	0.41306978278756	0.41306978278756
tan	coi_id	95	-0.0432777649114719	-0.417616507897815	0.417747046661496	0.677094994095266	0.677094994095266
tan	mth_id	95	-0.0432886421457345	-0.41772160103152	0.417852238376352	0.677018350119592	0.677018350119592
tan	Sex	95	-0.0571929331642326	-0.552151234186635	0.552452959069508	0.58196340568796	0.58196340568796
tan	Diagnosis	95	0.155783605594347	1.51465583066383	1.52089092948053	0.1316800252154	0.1316800252154
tan	ADOScs	95	0.0811983820290634	0.784776605291234	0.785643063748929	0.434073688482727	0.434073688482727
tan	MSLelcStandard	91	-0.245800262398997	-2.36734504854252	2.39226864448841	0.0188479918221355	0.0188479918221355
tan	Mat_BMI_PrePreg	95	-0.197939714578774	-1.93439426268104	1.94739220015486	0.0545041561468843	0.0545041561468843
tan	PCB_11	95	0.149836033934764	1.45592799261843	1.46146506772515	0.147258554181496	0.147258554181496
tan	PCB_39	95	0.196341774330621	1.91836116305813	1.93103815330704	0.0565238553551954	0.0565238553551954
tan	PCB_153_168	95	-0.096607728257153	-0.934565914943059	0.936029437923929	0.351682312772874	0.351682312772874
tan	PCB_129_138_163	95	-0.0932774028276532	-0.902157253925186	0.903473698477045	0.368608828645403	0.368608828645403
tan	PCB_180_193	95	-0.0749579777558346	-0.724227001930781	0.724907947512787	0.470328483572031	0.470328483572031
tan	PCB_198_199	95	0.0179435553815767	0.173059956544885	0.173069245408045	0.862973118310914	0.862973118310914
tan	Unclassified_PCBs_Total	95	-0.0707744279518156	-0.683666895040189	0.684239702396349	0.495525365598881	0.495525365598881
tan	PCB_118	95	-0.0824318406236981	-0.796751809337551	0.79765855022279	0.427100641968459	0.427100641968459
tan	PCB_156_157	95	-0.118937750297175	-1.15244903293172	1.15519402496622	0.250970422254564	0.250970422254564
tan	PCB_169	95	0.218144031496504	2.13806079834773	2.15561953446632	0.0336947800714947	0.0336947800714947
tan	DL_PCBs_Total	95	-0.080924485205451	-0.782117768865491	0.782975448478014	0.435630829168438	0.435630829168438
tan	PCB_146	95	-0.0777452526354969	-0.7512641402269	0.752024248676497	0.453935573435144	0.453935573435144
tan	PCB_187	95	-0.0186696785504639	-0.180064782646243	0.180075245730318	0.857485295314054	0.857485295314054
tan	PCB_183	95	0.022618027507582	0.218157564592964	0.218176172080796	0.827769875933196	0.827769875933196
tan	PCB_177	95	-0.0606119082543731	-0.585237461099487	0.585596748613628	0.559564908026398	0.559564908026398
tan	PCB_170	95	-0.0978554294603276	-0.946713150962062	0.948234505027284	0.345467597817248	0.345467597817248
tan	PCB_196	95	-0.0477005465977972	-0.460356780999193	0.460531644399155	0.646209720708347	0.646209720708347
tan	PCB_203	95	-0.0444487364126096	-0.428930717776006	0.429072157111369	0.668863034611856	0.668863034611856
tan	PCB_194	95	0.0621969464762126	0.600580871801518	0.600969169224771	0.549322463741659	0.549322463741659
tan	NDL_PCBs_Totals	95	-0.0389980208397531	-0.376274122389364	0.376369602280183	0.707499424752572	0.707499424752572
tan	Total_PCBs	95	-0.0646932859663136	-0.624752006431966	0.625189105534333	0.533378017608814	0.533378017608814
tan	weight(g)	95	-0.0498296319355765	-0.480937886853802	0.481137269235891	0.631549030618712	0.631549030618712
royalblue	Sequencing_Platform	95	-0.0549219631772642	-0.530181745437407	0.530448865031013	0.597065103510215	0.597065103510215
royalblue	Insertion	51	0.17579151069075	1.24345657450835	1.25000639980064	0.217234422424409	0.217234422424409
royalblue	coi_id	95	0.0240177784366943	0.231663619489985	0.231685901370673	0.817291001034615	0.817291001034615
royalblue	mth_id	95	0.0240195683493519	0.231680890746277	0.231703177610987	0.817277621440423	0.817277621440423
royalblue	Sex	95	0.19584071497443	1.91333589085218	1.92591338704293	0.0571696405125199	0.0571696405125199
royalblue	Diagnosis	95	-0.0762169630717703	-0.7364379853154	0.737153965455422	0.462884432208547	0.462884432208547
royalblue	ADOScs	95	-0.064224805510221	-0.620215294545365	0.620642939184762	0.536352630595525	0.536352630595525
royalblue	MSLelcStandard	91	0.220968834734049	2.11957451072229	2.13745176719288	0.0353032843700258	0.0353032843700258
royalblue	Mat_BMI_PrePreg	95	0.0511675558877607	0.49387334696289	0.494089255353044	0.622408156378892	0.622408156378892
royalblue	PCB_11	95	-0.00108349250684844	-0.0104488274270213	0.010448829471434	0.991685573861224	0.991685573861224
royalblue	PCB_39	95	-0.12236061055446	-1.18594551886988	1.18893701474763	0.23749139263533	0.23749139263533
royalblue	PCB_153_168	95	-0.00455886523788228	-0.043964408796722	0.0439645610862233	0.965026912399434	0.965026912399434
royalblue	PCB_129_138_163	95	-0.0190915959537256	-0.184135057759168	0.184146246550253	0.854299661569301	0.854299661569301
royalblue	PCB_180_193	95	-0.0385510424083274	-0.371957127979702	0.372049358946729	0.710702513499606	0.710702513499606
royalblue	PCB_198_199	95	-0.0470956980186173	-0.45451069865511	0.454678984027086	0.650399749276062	0.650399749276062
royalblue	Unclassified_PCBs_Total	95	-0.0261054500819126	-0.251809056111946	0.251837671170674	0.801722227076985	0.801722227076985
royalblue	PCB_118	95	-0.00416228476859323	-0.0401398524796745	0.0401399683823585	0.968067583341495	0.968067583341495
royalblue	PCB_156_157	95	-0.0127276844979251	-0.122747972723538	0.122751287179885	0.902568929139782	0.902568929139782
royalblue	PCB_169	95	-0.0549858818446621	-0.530800021896967	0.531068077187449	0.596637662266129	0.596637662266129
royalblue	DL_PCBs_Total	95	-0.010984084341993	-0.105930933653437	0.105933063934081	0.915863621695848	0.915863621695848
royalblue	PCB_146	95	-0.0525325603000437	-0.507072459744983	0.507306147473848	0.613140928169614	0.613140928169614
royalblue	PCB_187	95	-0.0446017776238898	-0.430409525506668	0.430552432893727	0.667790012633705	0.667790012633705
royalblue	PCB_183	95	-0.0354448043693571	-0.341960568219187	0.34203223554425	0.733098354990562	0.733098354990562
royalblue	PCB_177	95	-0.0147352099171468	-0.142111504313457	0.142116647807328	0.887295294418027	0.887295294418027
royalblue	PCB_170	95	-0.0296895281373274	-0.286399611109711	0.286441713061044	0.77517696933515	0.77517696933515
royalblue	PCB_196	95	0.0318016942513067	0.306787883954181	0.306839633005046	0.75965141042446	0.75965141042446
royalblue	PCB_203	95	-0.00267587747071198	-0.0258052893982521	0.0258053201940991	0.979467909899799	0.979467909899799
royalblue	PCB_194	95	-0.115905445648262	-1.12279769423938	1.1253361213045	0.263342479295114	0.263342479295114
royalblue	NDL_PCBs_Totals	95	-0.0422066660765257	-0.407268298694314	0.407389371428131	0.684658250667131	0.684658250667131
royalblue	Total_PCBs	95	-0.0300081427921105	-0.289474959584765	0.28951843246078	0.772829141433103	0.772829141433103
royalblue	weight(g)	95	0.105224243492795	1.0185160708608	1.02041064530235	0.310180890331579	0.310180890331579
green	Sequencing_Platform	95	0.00438042720812034	0.0422435803723932	0.0422437154702248	0.966394977281923	0.966394977281923
green	Insertion	51	-0.0717754790574866	-0.503293820130763	0.503727560371499	0.616710130759099	0.616710130759099
green	coi_id	95	-0.10042739070011	-0.971762471538741	0.973407853224194	0.332875703400611	0.332875703400611
